# Time	forces(pressure, viscous) moment(pressure, viscous)
0.0001	(((-1.5201336 46.355271 1.616353e-16) (13.228289 0.0017247459 -9.5547847e-19)) ((-2.3177635 -0.07600668 16.851987) (-8.6237295e-05 0.66141443 0.00018326301)))
0.00015	(((30.1519 21.257376 2.3319824e-16) (13.114968 0.002517241 -1.3773923e-18)) ((-1.0628688 1.507595 7.7648863) (-0.00012586205 0.65574838 0.00025902139)))
0.0002	(((23.235404 17.905259 2.1122499e-16) (13.025835 0.0031475224 -1.2937484e-18)) ((-0.89526296 1.1617702 6.5178869) (-0.00015737612 0.65129176 0.00032152108)))
0.00025	(((23.615939 15.753107 2.0617888e-16) (12.952112 0.003682324 -1.2803808e-18)) ((-0.78765533 1.1807969 5.695938) (-0.0001841162 0.64760558 0.00037449568)))
0.0003	(((25.189536 14.004799 2.0589221e-16) (12.888674 0.0041309975 -1.2873507e-18)) ((-0.70023995 1.2594768 5.0204475) (-0.00020654987 0.64443372 0.00042081961)))
0.00035	(((26.999741 12.529044 2.0767788e-16) (12.832698 0.0045131418 -1.3033012e-18)) ((-0.62645219 1.3499871 4.447161) (-0.00022565709 0.64163489 0.00046191919)))
0.0004	(((28.470305 11.287851 2.0951103e-16) (12.782175 0.0048332631 -1.3182723e-18)) ((-0.56439253 1.4235153 3.9721207) (-0.00024166316 0.63910874 0.0004985872)))
0.00045	(((29.401223 10.209219 2.1048558e-16) (12.735492 0.0051054909 -1.3276476e-18)) ((-0.51046096 1.4700612 3.5645207) (-0.00025527455 0.63677459 0.00053176342)))
0.0005	(((29.873596 9.2452104 2.1062696e-16) (12.691675 0.0053362357 -1.3316787e-18)) ((-0.46226052 1.4936798 3.2038709) (-0.00026681178 0.63458374 0.00056199725)))
0.00055	(((30.013462 8.3671868 2.1016283e-16) (12.649922 0.0055267203 -1.3317434e-18)) ((-0.41835934 1.5006731 2.8784534) (-0.00027633602 0.63249612 0.00058918271)))
0.0006	(((29.930992 7.5523456 2.0931295e-16) (12.609757 0.0056858856 -1.3291466e-18)) ((-0.37761728 1.4965496 2.5785864) (-0.00028429428 0.63048785 0.00061400602)))
0.00065	(((29.703593 6.7872003 2.0822946e-16) (12.570797 0.0058139137 -1.324831e-18)) ((-0.33936002 1.4851796 2.2983197) (-0.00029069568 0.62853985 0.00063620711)))
0.0007	(((29.384886 6.0632599 2.0701374e-16) (12.532794 0.0059172731 -1.3194541e-18)) ((-0.30316299 1.4692443 2.0341619) (-0.00029586365 0.6266397 0.00065633716)))
0.00075	(((29.013515 5.3764531 2.057351e-16) (12.495563 0.0059959701 -1.313452e-18)) ((-0.26882265 1.4506758 1.7842503) (-0.00029979851 0.62477815 0.00067413636)))
0.0008	(((28.615646 4.7178198 2.0444079e-16) (12.458974 0.006054762 -1.3070721e-18)) ((-0.23589099 1.4307823 1.5449144) (-0.0003027381 0.62294872 0.00069006625)))
0.00085	(((28.207313 4.0991191 2.03159e-16) (12.422935 0.006093681 -1.3005153e-18)) ((-0.20495596 1.4103656 1.3209118) (-0.00030468405 0.62114676 0.00070390329)))
0.0009	(((27.809063 3.5147748 2.0192535e-16) (12.387382 0.0061165223 -1.2940244e-18)) ((-0.17573874 1.3904531 1.110079) (-0.00030582611 0.61936912 0.0007160844)))
0.00095	(((27.432929 2.96383 2.0075869e-16) (12.352272 0.0061231819 -1.2877458e-18)) ((-0.1481915 1.3716464 0.91203392) (-0.00030615909 0.61761361 0.00072639123)))
0.001	(((27.085644 2.4453734 1.9967143e-16) (12.317585 0.0061166724 -1.2817871e-18)) ((-0.12226867 1.3542822 0.72633163) (-0.00030583362 0.61587927 0.0007352199)))
