# Time	forces(pressure, viscous) moment(pressure, viscous)
3.0005	(((0.0019062111 -3.6279095e-06 3.2847496e-22) (0.00053262264 -4.1316807e-07 8.695835e-23)) ((3.6279095e-08 1.9062111e-05 1.0700118e-13) (4.1316807e-09 5.3262264e-06 5.6790307e-11)))
3.001	(((0.0019061931 -3.6268741e-06 3.2846484e-22) (0.00053261905 -4.1322514e-07 8.6958063e-23)) ((3.6268741e-08 1.9061931e-05 1.0692828e-13) (4.1322514e-09 5.3261905e-06 5.4056971e-11)))
3.0015	(((0.0019061775 -3.626229e-06 3.2845547e-22) (0.00053261547 -4.1328164e-07 8.6957754e-23)) ((3.626229e-08 1.9061775e-05 1.0694365e-13) (4.1328164e-09 5.3261547e-06 5.1315217e-11)))
3.002	(((0.001906162 -3.6258226e-06 3.2844583e-22) (0.00053261189 -4.1333776e-07 8.6957447e-23)) ((3.6258226e-08 1.906162e-05 1.0695702e-13) (4.1333776e-09 5.3261189e-06 4.8565065e-11)))
3.0025	(((0.0019061464 -3.6254682e-06 3.2843612e-22) (0.00053260831 -4.1339354e-07 8.695714e-23)) ((3.6254682e-08 1.9061464e-05 1.069696e-13) (4.1339354e-09 5.3260831e-06 4.5806522e-11)))
3.003	(((0.0019061307 -3.625108e-06 3.284264e-22) (0.00053260473 -4.13449e-07 8.6956834e-23)) ((3.625108e-08 1.9061307e-05 1.0698231e-13) (4.13449e-09 5.3260473e-06 4.303959e-11)))
3.0035	(((0.001906115 -3.6247378e-06 3.2841668e-22) (0.00053260115 -4.1350414e-07 8.6956527e-23)) ((3.6247378e-08 1.906115e-05 1.0699518e-13) (4.1350414e-09 5.3260115e-06 4.0264274e-11)))
3.004	(((0.0019060994 -3.6243659e-06 3.2840696e-22) (0.00053259758 -4.1355895e-07 8.6956221e-23)) ((3.6243659e-08 1.9060994e-05 1.0700804e-13) (4.1355895e-09 5.3259758e-06 3.7480583e-11)))
3.0045	(((0.0019060837 -3.6239905e-06 3.2839724e-22) (0.000532594 -4.1361344e-07 8.6955914e-23)) ((3.6239905e-08 1.9060837e-05 1.0702086e-13) (4.1361344e-09 5.32594e-06 3.4688526e-11)))
3.005	(((0.0019060681 -3.6236127e-06 3.2838752e-22) (0.00053259043 -4.1366762e-07 8.6955608e-23)) ((3.6236127e-08 1.9060681e-05 1.0703363e-13) (4.1366762e-09 5.3259043e-06 3.1888114e-11)))
3.0055	(((0.0019060525 -3.6232293e-06 3.2837781e-22) (0.00053258686 -4.1372147e-07 8.6955302e-23)) ((3.6232293e-08 1.9060525e-05 1.0704637e-13) (4.1372147e-09 5.3258686e-06 2.9079358e-11)))
3.006	(((0.0019060369 -3.6228426e-06 3.283681e-22) (0.00053258329 -4.13775e-07 8.6954995e-23)) ((3.6228426e-08 1.9060369e-05 1.0705907e-13) (4.13775e-09 5.3258329e-06 2.6262268e-11)))
3.0065	(((0.0019060212 -3.6224499e-06 3.283584e-22) (0.00053257972 -4.1382821e-07 8.6954689e-23)) ((3.6224499e-08 1.9060212e-05 1.0707175e-13) (4.1382821e-09 5.3257972e-06 2.3436856e-11)))
3.007	(((0.0019060056 -3.6220538e-06 3.2834872e-22) (0.00053257615 -4.138811e-07 8.6954383e-23)) ((3.6220538e-08 1.9060056e-05 1.0708438e-13) (4.138811e-09 5.3257615e-06 2.0603134e-11)))
3.0075	(((0.00190599 -3.6216518e-06 3.2833905e-22) (0.00053257259 -4.1393367e-07 8.6954076e-23)) ((3.6216518e-08 1.90599e-05 1.0709701e-13) (4.1393367e-09 5.3257259e-06 1.7761112e-11)))
3.008	(((0.0019059744 -3.6212462e-06 3.2832938e-22) (0.00053256902 -4.1398591e-07 8.695377e-23)) ((3.6212462e-08 1.9059744e-05 1.0710959e-13) (4.1398591e-09 5.3256902e-06 1.4910802e-11)))
3.0085	(((0.0019059587 -3.6208346e-06 3.2831973e-22) (0.00053256546 -4.1403783e-07 8.6953463e-23)) ((3.6208346e-08 1.9059587e-05 1.0712219e-13) (4.1403783e-09 5.3256546e-06 1.2052216e-11)))
3.009	(((0.0019059432 -3.6204195e-06 3.2831008e-22) (0.00053256189 -4.1408942e-07 8.6953157e-23)) ((3.6204195e-08 1.9059432e-05 1.0713475e-13) (4.1408942e-09 5.3256189e-06 9.185366e-12)))
3.0095	(((0.0019059275 -3.6199983e-06 3.2830045e-22) (0.00053255833 -4.1414069e-07 8.6952851e-23)) ((3.6199983e-08 1.9059275e-05 1.0714732e-13) (4.1414069e-09 5.3255833e-06 6.3102639e-12)))
3.01	(((0.001905912 -3.6195736e-06 3.2829081e-22) (0.00053255477 -4.1419163e-07 8.6952544e-23)) ((3.6195736e-08 1.905912e-05 1.0715987e-13) (4.1419163e-09 5.3255477e-06 3.4269215e-12)))
