# Time	Cd	Cl	Cm
0.0005	253.96354	-1.5465985	0
0.001	287.28999	-1.6150629	0
0.0015	319.93636	-0.87339234	0
0.002	342.49717	-1.1685927	0
0.0025	371.708	-1.4331259	0
0.003	402.23873	-1.8358237	0
0.0035	439.22553	-2.1790232	0
0.004	488.84188	-1.4359179	0
0.0045	551.75346	-1.2234448	0
0.005	603.14388	-3.278368	0
0.0055	630.64403	-4.08008	0
0.006	664.80445	-4.7039631	0
0.0065	700.21165	-4.8573603	0
0.007	743.2413	-5.0163922	0
0.0075	765.06868	-7.4824628	0
0.008	767.28069	-8.9200889	0
0.0085	756.61346	-11.811818	0
0.009	741.93202	-13.552846	0
0.0095	725.0086	-14.315095	0
0.01	710.12373	-14.508746	0
0.0105	695.18363	-13.97983	0
0.011	680.9587	-12.585089	0
0.0115	667.76799	-11.060238	0
0.012	655.1218	-9.2885897	0
0.0125	642.94716	-7.6738581	0
0.013	633.26589	-6.1721437	0
0.0135	626.74492	-4.7527832	0
0.014	621.86296	-3.2788523	0
0.0145	617.66555	-1.846103	0
0.015	613.98669	-0.54198334	0
0.0155	609.72654	0.49644563	0
0.016	606.13524	1.2438419	0
0.0165	603.29537	1.6814708	0
0.017	600.95093	1.7256927	0
0.0175	598.73565	1.4017541	0
0.018	596.56636	0.72428465	0
0.0185	594.45095	-0.24025644	0
0.019	592.37408	-1.429135	0
0.0195	590.08813	-2.7982425	0
0.02	587.70434	-4.2589645	0
0.0205	585.26472	-5.8105325	0
0.021	582.74167	-7.3500358	0
0.0215	580.12997	-8.8091307	0
0.022	577.45972	-10.107077	0
0.0225	574.7741	-11.164087	0
0.023	572.15423	-11.900124	0
0.0235	569.65849	-12.237075	0
0.024	567.3086	-12.117962	0
0.0245	565.11062	-11.511794	0
0.025	563.03174	-10.402233	0
0.0255	561.04181	-8.8191024	0
0.026	559.108	-6.8148181	0
0.0265	557.18572	-4.462165	0
0.027	555.25985	-1.8512438	0
0.0275	553.33315	0.92212002	0
0.028	551.43344	3.7366148	0
0.0285	549.60612	6.4433532	0
0.029	547.88984	8.8900483	0
0.0295	546.31902	10.928152	0
0.03	544.90133	12.413702	0
0.0305	543.6013	13.227537	0
0.031	542.38485	13.279265	0
0.0315	541.19175	12.492685	0
0.032	539.98197	10.83316	0
0.0325	538.72888	8.3112616	0
0.033	537.41349	4.9827792	0
0.0335	536.04348	0.94999213	0
0.034	534.64986	-3.6547853	0
0.0345	533.24853	-8.665916	0
0.035	531.88698	-13.891109	0
0.0355	530.60765	-19.102712	0
0.036	529.43342	-24.059855	0
0.0365	528.41771	-28.489502	0
0.037	527.57902	-32.123008	0
0.0375	526.9046	-34.704685	0
0.038	526.3693	-36.019322	0
0.0385	525.88872	-35.875072	0
0.039	525.39617	-34.141329	0
0.0395	524.84274	-30.751196	0
0.04	524.1857	-25.70208	0
0.0405	523.39708	-19.074214	0
0.041	522.47426	-11.023062	0
0.0415	521.42719	-1.794872	0
0.042	520.28845	8.2896306	0
0.0425	519.10469	18.826045	0
0.043	517.96929	29.321771	0
0.0435	516.98512	39.257447	0
0.044	516.23329	48.124005	0
0.0445	515.80202	55.420813	0
0.045	515.75703	60.670788	0
0.0455	515.97161	63.438673	0
0.046	516.35801	63.37694	0
0.0465	516.78846	60.221018	0
0.047	517.07906	53.728401	0
0.0475	517.14211	44.393812	0
0.048	516.75716	31.963991	0
0.0485	515.84746	16.834607	0
0.049	514.56919	-0.45679299	0
0.0495	513.21953	-19.264763	0
0.05	511.84957	-38.867007	0
0.0505	510.60649	-58.435494	0
0.051	509.71525	-77.034989	0
0.0515	509.36278	-93.682015	0
0.052	509.64632	-107.44074	0
0.0525	510.56381	-117.4356	0
0.053	512.10797	-123.22021	0
0.0535	514.14317	-124.07884	0
0.054	516.48337	-119.62364	0
0.0545	518.85845	-109.58509	0
0.055	520.81161	-93.818322	0
0.0555	521.98298	-72.3617	0
0.056	522.461	-45.906369	0
0.0565	522.75774	-15.456271	0
0.057	522.82497	18.212504	0
0.0575	523.07361	53.724857	0
0.058	523.5498	89.556919	0
0.0585	524.36011	123.19428	0
0.059	525.83433	152.5136	0
0.0595	528.08209	175.72216	0
0.06	531.24489	191.15823	0
0.0605	535.50263	197.6192	0
0.061	540.66271	195.27551	0
0.0615	546.33872	184.07759	0
0.062	552.64447	164.11973	0
0.0625	558.95642	135.14313	0
0.063	564.46957	97.769706	0
0.0635	566.56394	53.830352	0
0.064	565.38528	3.8710247	0
0.0645	562.68858	-50.104943	0
0.065	559.98674	-104.62575	0
0.0655	559.08054	-156.7857	0
0.066	563.71707	-204.27952	0
0.0665	575.49067	-243.06822	0
0.067	595.15901	-267.12616	0
0.0675	619.36707	-272.00191	0
0.068	641.90031	-253.92002	0
0.0685	657.52388	-210.94935	0
0.069	662.71541	-147.16481	0
0.0695	659.15899	-63.967727	0
0.07	652.08424	35.222491	0
0.0705	645.44941	141.53084	0
0.071	644.29947	244.7236	0
0.0715	655.26495	336.629	0
0.072	680.25762	403.71716	0
0.0725	715.78096	436.43152	0
0.073	752.90159	429.32425	0
0.0735	783.01548	379.94451	0
0.074	797.60385	294.56689	0
0.0745	797.04328	178.11157	0
0.075	781.84097	37.710674	0
0.0755	752.55684	-113.02657	0
0.076	717.22099	-261.16206	0
0.0765	695.22571	-390.86276	0
0.077	700.26701	-492.34229	0
0.0775	728.96209	-548.94268	0
0.078	769.37693	-557.98531	0
0.0785	809.23539	-518.38087	0
0.079	836.09499	-433.38418	0
0.0795	843.25249	-308.21318	0
0.08	830.16061	-156.67005	0
0.0805	806.92225	12.608657	0
0.081	773.76986	179.81053	0
0.0815	740.79162	340.75953	0
0.082	723.51093	479.90108	0
0.0825	729.83261	571.79815	0
0.083	756.68408	612.27422	0
0.0835	795.45125	604.62999	0
0.084	831.02775	544.9182	0
0.0845	849.91884	442.90993	0
0.085	849.40381	298.38783	0
0.0855	838.36528	132.33236	0
0.086	816.4231	-45.43076	0
0.0865	780.97356	-221.96098	0
0.087	743.3782	-381.10947	0
0.0875	724.32466	-514.76755	0
0.088	732.67438	-599.07262	0
0.0885	759.90744	-634.25021	0
0.089	799.3965	-618.6898	0
0.0895	834.71956	-549.97529	0
0.09	853.45493	-438.43923	0
0.0905	853.54949	-287.52908	0
0.091	835.57204	-117.55518	0
0.0915	810.8542	65.141633	0
0.092	778.77163	244.42363	0
0.0925	749.52582	403.61473	0
0.093	735.01101	533.0394	0
0.0935	742.09585	608.73121	0
0.094	768.51869	634.98666	0
0.0945	805.96907	610.36881	0
0.095	839.24904	533.32202	0
0.0955	852.55263	416.52085	0
0.096	849.09362	261.8508	0
0.0965	835.34071	89.853404	0
0.097	811.40665	-94.675825	0
0.0975	775.30957	-267.20183	0
0.098	741.70133	-420.89649	0
0.0985	727.29388	-543.89311	0
0.099	739.36115	-617.22668	0
0.0995	768.0955	-639.60598	0
0.1	807.42125	-610.7353	0
0.1005	840.29895	-529.70428	0
0.101	854.41489	-409.06488	0
0.1015	849.90665	-252.47101	0
0.102	829.14945	-79.291004	0
0.1025	803.34499	108.32554	0
0.103	771.18076	281.89777	0
0.1035	745.41304	435.01277	0
0.104	734.81647	553.15425	0
0.1045	746.61942	618.46252	0
0.105	775.49191	634.35851	0
0.1055	813.72401	598.34352	0
0.106	845.36454	507.0228	0
0.1065	853.43251	384.35801	0
0.107	846.45818	225.68013	0
0.1075	831.37081	50.844976	0
0.108	804.16422	-133.32163	0
0.1085	766.61671	-300.15911	0
0.109	736.27078	-449.48029	0
0.1095	727.29088	-563.47022	0
0.11	744.12642	-625.08005	0
0.1105	775.75436	-637.41018	0
0.111	814.9085	-597.19292	0
0.1115	846.48977	-501.41131	0
0.112	856.15457	-374.30273	0
0.1125	846.52076	-214.93174	0
0.113	823.95065	-38.011051	0
0.1135	796.42725	148.50978	0
0.114	763.35251	314.84908	0
0.1145	740.62315	462.94313	0
0.115	735.07873	570.63763	0
0.1155	751.75751	625.46165	0
0.116	783.61756	631.10038	0
0.1165	821.12098	583.91154	0
0.117	847.5761	488.04128	0
0.1175	852.23871	354.59489	0
0.118	843.3288	191.64224	0
0.1185	826.10718	14.237939	0
0.119	795.84347	-169.06918	0
0.1195	757.88649	-330.13005	0
0.12	731.79399	-474.58823	0
0.1205	728.7739	-578.85103	0
0.121	750.00946	-630.00231	0
0.1215	784.13981	-632.27067	0
0.122	822.09168	-581.37587	0
0.1225	847.80664	-482.87032	0
0.123	854.2689	-345.00376	0
0.1235	841.9032	-181.34333	0
0.124	818.54701	-1.8780351	0
0.1245	789.79853	182.41387	0
0.125	757.75955	345.94845	0
0.1255	737.47056	488.06741	0
0.126	736.26348	584.67792	0
0.1265	757.21662	629.13134	0
0.127	791.45844	624.289	0
0.1275	827.55494	566.69457	0
0.128	849.04805	463.88242	0
0.1285	851.00577	322.67671	0
0.129	840.20537	155.87819	0
0.1295	820.68891	-22.921891	0
0.13	788.31109	-203.24153	0
0.1305	751.29608	-362.78816	0
0.131	728.52404	-500.0088	0
0.1315	731.44759	-593.09712	0
0.132	755.93789	-634.04459	0
0.1325	792.04016	-625.81708	0
0.133	828.8691	-564.51798	0
0.1335	850.30145	-458.34439	0
0.134	853.31334	-313.22205	0
0.1345	837.75459	-145.82131	0
0.135	813.69465	35.092014	0
0.1355	783.39238	216.22302	0
0.136	752.92233	377.66746	0
0.1365	735.33945	513.22221	0
0.137	738.8807	597.97659	0
0.1375	762.71188	631.99098	0
0.138	798.92488	616.40922	0
0.1385	833.79137	548.38456	0
0.139	850.45652	437.99747	0
0.1395	849.61061	289.37993	0
0.14	837.33798	119.7526	0
0.1405	815.4997	-61.930273	0
0.141	780.81603	-238.74904	0
0.1415	745.36299	-394.95042	0
0.142	727.24563	-525.6999	0
0.1425	735.01023	-606.6264	0
0.143	762.05303	-637.17971	0
0.1435	800.48123	-617.56075	0
0.144	835.14217	-545.52517	0
0.1445	852.61893	-431.34924	0
0.145	851.74435	-279.33296	0
0.1455	833.18097	-108.99068	0
0.146	808.38196	76.239244	0
0.1465	776.73965	253.91	0
0.147	748.55793	410.55731	0
0.1475	735.04732	537.14286	0
0.148	742.87021	609.91102	0
0.1485	769.82745	633.70352	0
0.149	807.2264	606.55595	0
0.1495	839.82422	527.21292	0
0.15	852.05814	409.23435	0
0.1505	847.91716	253.77764	0
0.151	834.11028	81.592551	0
0.1515	809.53931	-102.87976	0
0.152	773.08247	-274.38921	0
0.1525	740.17937	-427.05059	0
0.153	726.84875	-547.40537	0
0.1535	740.19067	-618.60538	0
0.154	769.64809	-638.86323	0
0.1545	809.03153	-607.51536	0
0.155	841.38056	-524.162	0
0.1555	854.63749	-401.89661	0
0.156	849.16261	-244.32767	0
0.1565	827.97813	-70.49982	0
0.157	801.90246	117.13198	0
0.1575	769.46218	289.59668	0
0.158	744.38669	441.62872	0
0.1585	734.69083	557.01506	0
0.159	747.71146	620.34228	0
0.1595	777.231	633.89925	0
0.16	815.37174	595.36338	0
0.1605	845.87149	502.83073	0
0.161	853.27884	377.37272	0
0.1615	845.65398	218.00253	0
0.162	830.28879	41.640502	0
0.1625	802.33369	-141.94288	0
0.163	764.34234	-307.0097	0
0.1635	734.92233	-455.26311	0
0.164	727.4657	-567.28476	0
0.1645	745.39205	-626.27089	0
0.165	777.63469	-636.35742	0
0.1655	816.6163	-593.61676	0
0.166	846.32296	-498.81096	0
0.1665	855.49917	-368.18263	0
0.167	845.4239	-207.6707	0
0.1675	822.65093	-30.083833	0
0.168	794.79137	156.26435	0
0.1685	761.90009	321.66861	0
0.169	739.79176	468.64811	0
0.1695	735.30776	574.10194	0
0.17	752.91383	626.3014	0
0.1705	785.40062	629.58388	0
0.171	822.6081	579.99338	0
0.1715	847.91438	482.62443	0
0.172	851.90438	347.32092	0
0.1725	842.58008	183.45075	0
0.173	824.9003	5.7003238	0
0.1735	794.08277	-176.93612	0
0.174	756.2206	-337.2662	0
0.1745	731.0182	-480.5552	0
0.175	729.22176	-582.16478	0
0.1755	751.45944	-631.04829	0
0.176	786.04141	-630.89132	0
0.1765	823.67045	-577.5517	0
0.177	848.39147	-477.40791	0
0.1775	854.01562	-337.76889	0
0.178	840.88263	-173.19603	0
0.1785	817.43071	6.739783	0
0.179	788.38627	190.33105	0
0.1795	756.62923	353.47053	0
0.18	736.59386	492.8429	0
0.1805	736.72384	586.79737	0
0.181	758.55441	629.65517	0
0.1815	793.69272	622.44689	0
0.182	829.30798	562.46588	0
0.1825	849.70327	458.07939	0
0.183	851.096	315.26332	0
0.1835	839.82865	147.77713	0
0.184	819.72253	-31.062985	0
0.1845	786.67245	-210.59625	0
0.185	749.85462	-369.67212	0
0.1855	728.16396	-506.11002	0
0.186	732.03547	-596.02122	0
0.1865	757.16454	-634.33118	0
0.187	793.66908	-623.60072	0
0.1875	830.10632	-559.92775	0
0.188	850.67895	-452.04098	0
0.1885	852.87574	-305.39049	0
0.189	836.6547	-137.31093	0
0.1895	812.45747	44.26157	0
0.19	781.77142	224.92589	0
0.1905	751.81291	385.39395	0
0.191	735.20891	519.16934	0
0.1915	739.68416	601.2732	0
0.192	764.203	632.72254	0
0.1925	800.70444	614.52617	0
0.193	835.05923	544.02532	0
0.1935	850.81155	431.81955	0
0.194	849.16515	281.54127	0
0.1945	836.59273	111.36019	0
0.195	814.16105	-71.446996	0
0.1955	779.13126	-247.0158	0
0.196	744.10005	-402.40136	0
0.1965	727.10303	-531.03989	0
0.197	736.11537	-609.49084	0
0.1975	763.67499	-637.87843	0
0.198	802.57121	-615.55774	0
0.1985	836.61169	-540.91386	0
0.199	853.1184	-424.88729	0
0.1995	851.22883	-271.41758	0
0.2	831.94736	-100.29941	0
0.2005	806.88118	85.935704	0
0.201	775.06141	262.41858	0
0.2015	747.56184	418.03084	0
0.202	734.92196	542.25349	0
0.2025	743.86751	612.53294	0
0.203	771.43235	634.07573	0
0.2035	809.32046	604.21602	0
0.204	841.36112	522.02638	0
0.2045	852.41577	402.37707	0
0.205	847.5938	245.65732	0
0.2055	833.48268	72.764174	0
0.206	808.13358	-111.85651	0
0.2065	771.31691	-282.21311	0
0.207	739.15425	-433.91605	0
0.2075	727.00691	-551.95808	0
0.208	741.43507	-620.55758	0
0.2085	771.57346	-638.46098	0
0.209	810.92702	-604.45679	0
0.2095	842.81379	-518.23426	0
0.21	855.06987	-394.24717	0
0.2105	848.49077	-235.78699	0
0.211	826.87231	-61.076978	0
0.2115	800.36994	126.32295	0
0.212	767.77721	297.46833	0
0.2125	743.3769	448.36402	0
0.213	734.66751	560.60896	0
0.2135	748.97851	622.01363	0
0.214	779.14209	633.28447	0
0.2145	817.09812	592.18497	0
0.215	846.12478	499.5551	0
0.2155	852.77685	371.21874	0
0.216	844.80407	210.63146	0
0.2165	828.99625	34.006254	0
0.217	800.41218	-149.86417	0
0.2175	762.45543	-313.98195	0
0.218	733.99328	-461.08948	0
0.2185	727.82022	-570.94518	0
0.219	746.71583	-627.45401	0
0.2195	779.51948	-635.28664	0
0.22	818.22815	-590.11106	0
0.2205	846.56887	-494.73366	0
0.221	854.99647	-361.51137	0
0.2215	844.45897	-199.97747	0
0.222	821.37411	-21.859987	0
0.2225	793.25812	163.9259	0
0.223	760.51653	328.44934	0
0.2235	739.0163	474.35773	0
0.224	735.56567	577.27029	0
0.2245	754.16014	627.086	0
0.225	787.21499	627.99263	0
0.2255	824.10568	576.03453	0
0.226	848.24204	477.10148	0
0.2265	851.56819	340.00457	0
0.227	841.79982	175.23717	0
0.2275	823.59192	-2.8627044	0
0.228	792.35293	-184.82044	0
0.2285	754.72598	-345.06716	0
0.229	730.28895	-486.5302	0
0.2295	729.68193	-585.5422	0
0.23	752.88653	-632.13266	0
0.2305	787.91539	-629.50442	0
0.231	825.21391	-573.71211	0
0.2315	849.00562	-471.84086	0
0.232	853.85312	-330.50101	0
0.2325	839.95	-165.01407	0
0.233	816.33866	15.305126	0
0.2335	786.88454	198.09261	0
0.234	755.49708	360.81269	0
0.2345	735.69243	497.69306	0
0.235	737.7661	590.80162	0
0.2355	759.53003	630.19394	0
0.236	795.45008	620.79756	0
0.2365	830.64339	558.28763	0
0.237	849.94012	452.16939	0
0.2375	850.76956	307.61555	0
0.238	839.08866	139.36652	0
0.2385	818.48007	-39.562612	0
0.239	784.94525	-218.16419	0
0.2395	748.38804	-376.90757	0
0.24	727.70897	-512.08295	0
0.2405	732.77063	-599.39255	0
0.241	758.59674	-635.38036	0
0.2415	795.48779	-622.0246	0
0.242	831.53121	-555.882	0
0.2425	851.21958	-446.10996	0
0.243	852.56168	-297.73894	0
0.2435	835.56819	-128.94662	0
0.244	811.27151	53.347937	0
0.2445	780.13027	233.34236	0
0.245	750.69521	392.83374	0
0.2455	735.04803	524.67553	0
0.246	740.51274	603.96165	0
0.2465	765.7623	633.03126	0
0.247	802.59333	612.22225	0
0.2475	836.41575	539.18361	0
0.248	851.19944	425.20685	0
0.2485	848.80334	273.29167	0
0.249	835.81087	102.62158	0
0.2495	812.81044	-80.996234	0
0.25	777.34605	-255.24412	0
0.2505	742.88385	-409.85512	0
0.251	727.00099	-536.2766	0
0.2515	737.30784	-612.74242	0
0.252	765.28245	-638.47683	0
0.2525	804.46997	-613.43664	0
0.253	838.01272	-536.18492	0
0.2535	853.52722	-418.31985	0
0.254	850.57373	-263.53038	0
0.2545	830.67764	-91.605671	0
0.255	805.33376	95.474712	0
0.2555	773.3822	270.73767	0
0.256	746.60455	425.31487	0
0.2565	734.83258	547.15697	0
0.257	744.95148	615.00316	0
0.2575	773.07057	634.28845	0
0.258	811.30714	601.8372	0
0.2585	842.85334	516.58449	0
0.259	852.75197	395.33452	0
0.2595	847.14611	237.53738	0
0.26	832.74628	63.83091	0
0.2605	806.59133	-120.84307	0
0.261	769.45477	-289.87684	0
0.2615	738.06167	-440.59975	0
0.262	727.19291	-557.10718	0
0.2625	742.57969	-622.60054	0
0.263	773.36351	-638.08761	0
0.2635	812.66246	-601.42557	0
0.264	844.21756	-511.78197	0
