# Time	forces(pressure, viscous) moment(pressure, viscous)
0.0005	(((110.97583 -0.77842872 0) (16.005935 0.0051294909 -1.3984579e-17)) ((0.038921436 5.5487917 1.5990349e-08) (-0.00025647454 0.80029674 0.0016502423)))
0.001	(((132.27725 -0.81165283 0) (11.367746 0.0041213644 -1.7280824e-17)) ((0.040582642 6.6138625 7.0398902e-09) (-0.00020606822 0.5683873 0.00076090808)))
0.0015	(((150.85819 -0.44281968 0) (9.1099893 0.0061235094 -2.489317e-17)) ((0.022140984 7.5429095 6.5889238e-09) (-0.00030617547 0.45549947 0.00083008565)))
0.002	(((163.37553 -0.58682203 0) (7.8730539 0.0025256655 -2.5620685e-17)) ((0.029341102 8.1687765 7.6197134e-09) (-0.00012628328 0.39365269 0.00091857233)))
0.0025	(((178.74354 -0.71581485 0) (7.1104652 -0.00074811911 -8.0581494e-18)) ((0.035790742 8.9371768 8.2693645e-09) (3.7405955e-05 0.35552326 0.0013117752)))
0.003	(((194.55407 -0.91336432 0) (6.5652905 -0.0045475088 -9.6973426e-18)) ((0.045668216 9.7277037 8.2502696e-09) (0.00022737544 0.32826453 0.001348959)))
0.0035	(((213.45847 -1.0817735 0) (6.1542918 -0.0077381162 -1.3390705e-17)) ((0.054088674 10.672924 7.5251985e-09) (0.00038690581 0.30771459 0.0012368545)))
0.004	(((238.54392 -0.70876168 0) (5.8770202 -0.009197272 -2.1099927e-17)) ((0.035438084 11.927196 1.5798234e-09) (0.0004598636 0.29385101 0.0011859718)))
0.0045	(((270.16382 -0.6002558 0) (5.7129094 -0.011466598 -2.6179974e-17)) ((0.03001279 13.508191 2.6325482e-09) (0.0005733299 0.28564547 0.0010119992)))
0.005	(((295.97676 -1.6229574 0) (5.595185 -0.016226593 -2.914681e-17)) ((0.081147871 14.798838 7.2359889e-09) (0.00081132965 0.27975925 0.00043125182)))
0.0055	(((309.82962 -2.0220919 0) (5.4923933 -0.017948095 -3.2094076e-17)) ((0.1011046 15.491481 8.1618821e-09) (0.00089740476 0.27461966 0.00038412681)))
0.006	(((327.01036 -2.3313983 0) (5.3918647 -0.020583245 -3.4869424e-17)) ((0.11656992 16.350518 6.4368865e-09) (0.0010291622 0.26959323 0.0002364151)))
0.0065	(((344.77937 -2.4045384 0) (5.326454 -0.024141711 -3.9549648e-17)) ((0.12022692 17.238969 2.7251906e-09) (0.0012070856 0.2663227 2.2161601e-05)))
0.007	(((366.2846 -2.4792168 0) (5.3360495 -0.02897931 -3.952219e-17)) ((0.12396084 18.31423 -1.3109103e-09) (0.0014489655 0.26680248 -0.00029364032)))
0.0075	(((377.17002 -3.7026435 0) (5.3643151 -0.038587884 -3.8583096e-17)) ((0.18513217 18.858501 -8.215499e-10) (0.0019293942 0.26821576 -0.0011328946)))
0.008	(((378.29466 -4.4135105 0) (5.3456869 -0.046533889 -3.746169e-17)) ((0.22067553 18.914733 -4.781633e-09) (0.0023266945 0.26728434 -0.0015726224)))
0.0085	(((373.0049 -5.850759 0) (5.3018291 -0.055150229 -3.5446468e-17)) ((0.29253795 18.650245 -4.9906098e-09) (0.0027575114 0.26509145 -0.0018764275)))
0.009	(((365.7491 -6.7154765 0) (5.2169076 -0.060946631 -2.6561235e-17)) ((0.33577383 18.287455 -7.9885882e-09) (0.0030473316 0.26084538 -0.0017567806)))
0.0095	(((357.36745 -7.0936267 0) (5.1368491 -0.0639207 -2.6563037e-17)) ((0.35468134 17.868372 -1.0098216e-08) (0.003196035 0.25684246 -0.0013093679)))
0.01	(((350.00261 -7.1905245 0) (5.0592523 -0.063848724 -2.6170357e-17)) ((0.35952622 17.500131 -1.1743093e-08) (0.0031924362 0.25296262 -0.00080243869)))
0.0105	(((342.60671 -6.9281861 0) (4.9851089 -0.061728756 -2.5884463e-17)) ((0.34640931 17.130335 -1.3858863e-08) (0.0030864378 0.24925545 -0.00027145132)))
0.011	(((335.56369 -6.2355509 0) (4.9156644 -0.056993644 -2.6307739e-17)) ((0.31177754 16.778184 -1.5838684e-08) (0.0028496822 0.24578322 0.00019620955)))
0.0115	(((329.03367 -5.4788518 0) (4.8503291 -0.051267102 -2.6817809e-17)) ((0.27394259 16.451683 -1.7321802e-08) (0.0025633551 0.24251646 0.00051924757)))
0.012	(((322.77324 -4.599493 0) (4.7876629 -0.04480185 -2.717397e-17)) ((0.22997465 16.138662 -1.8436978e-08) (0.0022400925 0.23938314 0.00074234789)))
0.0125	(((316.74922 -3.7985382 0) (4.7243601 -0.03839086 -2.698211e-17)) ((0.18992691 15.837461 -1.9592999e-08) (0.001919543 0.23621801 0.00088781202)))
0.013	(((311.97033 -3.0538639 0) (4.6626196 -0.032207933 -2.6208063e-17)) ((0.1526932 15.598516 -2.0784526e-08) (0.0016103966 0.23313098 0.00098688956)))
0.0135	(((308.76636 -2.3501893 0) (4.6060972 -0.0262023 -2.5257233e-17)) ((0.11750947 15.438318 -2.1834018e-08) (0.001310115 0.23030486 0.0010542783)))
0.014	(((306.37449 -1.6197033 0) (4.5569928 -0.019722835 -2.4603423e-17)) ((0.080985167 15.318724 -2.2380556e-08) (0.00098614173 0.22784964 0.0011638211)))
0.0145	(((304.3186 -0.91020014 0) (4.5141715 -0.012851368 -2.4153845e-17)) ((0.045510007 15.21593 -2.2473347e-08) (0.00064256841 0.22570857 0.0013246707)))
0.015	(((302.51666 -0.26489573 0) (4.4766806 -0.0060959439 -2.3855496e-17)) ((0.013244786 15.125833 -2.2256901e-08) (0.00030479719 0.22383403 0.001495715)))
0.0155	(((300.42215 0.24822626 0) (4.4411246 -3.442791e-06 -2.3702891e-17)) ((-0.012411313 15.021107 -2.1770207e-08) (1.7213955e-07 0.22205623 0.0016532001)))
0.016	(((298.65942 0.61679237 0) (4.4082017 0.0051285996 -2.3633033e-17)) ((-0.030839618 14.932971 -2.1054608e-08) (-0.00025642998 0.22041009 0.0017840619)))
