# Time	Cd	Cl	Cm
0.0005	202.36338	-2.218955	0
0.001	239.3635	-1.3520343	0
0.0015	262.18345	-0.74352655	0
0.002	276.17759	-1.0282701	0
0.0025	287.19551	-1.3000905	0
0.003	297.73847	-1.536907	0
0.0035	309.02328	-1.7044132	0
0.004	320.20315	-1.8216141	0
0.0045	330.2051	-1.9004476	0
0.005	338.78688	-1.9547082	0
0.0055	345.33943	-1.9807758	0
0.006	348.53473	-1.9770229	0
0.0065	348.26122	-1.9297423	0
0.007	345.00796	-1.832731	0
0.0075	339.57628	-1.6851589	0
0.008	333.2247	-1.4859276	0
0.0085	326.74324	-1.2490913	0
0.009	321.08912	-0.99563308	0
0.0095	316.68895	-0.7361174	0
0.01	313.63748	-0.48293701	0
0.0105	311.72984	-0.27774598	0
0.011	310.65421	-0.14008079	0
0.0115	310.1098	-0.085558363	0
0.012	309.86488	-0.12260061	0
0.0125	309.75916	-0.25234926	0
0.013	309.69251	-0.46891846	0
0.0135	309.61629	-0.76064884	0
0.014	309.52016	-1.1112705	0
0.0145	309.41582	-1.5016938	0
0.015	309.32337	-1.9116033	0
0.0155	309.25995	-2.3210002	0
0.016	309.23619	-2.7115152	0
0.0165	309.25262	-3.0674389	0
0.017	309.2989	-3.3768793	0
0.0175	309.36072	-3.6325344	0
0.018	309.42378	-3.8314774	0
0.0185	309.4761	-3.9758823	0
0.019	309.51018	-4.072099	0
0.0195	309.52335	-4.129744	0
0.02	309.51749	-4.1617776	0
0.0205	309.49727	-4.1817097	0
0.021	309.46795	-4.2037708	0
0.0215	309.43505	-4.241202	0
0.022	309.40251	-4.3048965	0
0.0225	309.37187	-4.4030992	0
0.023	309.34425	-4.53999	0
0.0235	309.31866	-4.7161946	0
0.024	309.29246	-4.9285596	0
0.0245	309.26774	-5.170387	0
0.025	309.23846	-5.4322226	0
0.0255	309.20493	-5.7023794	0
0.026	309.16793	-5.9682977	0
0.0265	309.12869	-6.2176084	0
0.027	309.08855	-6.4389413	0
0.0275	309.04911	-6.6226662	0
0.028	309.01076	-6.7625817	0
0.0285	308.97609	-6.8551926	0
0.029	308.94311	-6.9003692	0
0.0295	308.91204	-6.9013408	0
0.03	308.88377	-6.8643419	0
0.0305	308.8594	-6.7976966	0
0.031	308.83964	-6.7121024	0
0.0315	308.82537	-6.6188244	0
0.032	308.81582	-6.5281834	0
0.0325	308.8111	-6.451387	0
0.033	308.81153	-6.3973282	0
0.0335	308.81601	-6.3721866	0
0.034	308.82119	-6.3794141	0
0.0345	308.82539	-6.4198821	0
0.035	308.82723	-6.4919799	0
0.0355	308.82505	-6.5908586	0
0.036	308.81867	-6.710208	0
