# Time	forces(pressure, viscous) moment(pressure, viscous)
0.0005	(((101.18169 -1.1094775 0) (0 0 0)) ((0.055473876 5.0590845 1.5915454e-08) (0 0 0)))
0.001	(((119.68175 -0.67601717 0) (0 0 0)) ((0.033800859 5.9840874 1.7606171e-09) (0 0 0)))
0.0015	(((131.09172 -0.37176328 0) (0 0 0)) ((0.018588164 6.5545861 4.5670621e-09) (0 0 0)))
0.002	(((138.08879 -0.51413504 0) (0 0 0)) ((0.025706752 6.9044396 7.1159974e-09) (0 0 0)))
0.0025	(((143.59776 -0.65004524 0) (0 0 0)) ((0.032502262 7.1798878 8.6690476e-09) (0 0 0)))
0.003	(((148.86924 -0.7684535 0) (0 0 0)) ((0.038422675 7.4434619 9.1209752e-09) (0 0 0)))
0.0035	(((154.51164 -0.85220659 0) (0 0 0)) ((0.04261033 7.7255821 8.7606318e-09) (0 0 0)))
0.004	(((160.10158 -0.91080706 0) (0 0 0)) ((0.045540353 8.0050788 8.1182461e-09) (0 0 0)))
0.0045	(((165.10255 -0.95022379 0) (0 0 0)) ((0.04751119 8.2551275 7.554916e-09) (0 0 0)))
0.005	(((169.39344 -0.9773541 0) (0 0 0)) ((0.048867705 8.4696721 7.1222295e-09) (0 0 0)))
0.0055	(((172.66972 -0.99038791 0) (0 0 0)) ((0.049519395 8.6334859 6.995015e-09) (0 0 0)))
0.006	(((174.26737 -0.98851146 0) (0 0 0)) ((0.049425573 8.7133684 7.3070389e-09) (0 0 0)))
0.0065	(((174.13061 -0.96487116 0) (0 0 0)) ((0.048243558 8.7065306 7.912816e-09) (0 0 0)))
0.007	(((172.50398 -0.9163655 0) (0 0 0)) ((0.045818275 8.6251991 8.7093544e-09) (0 0 0)))
0.0075	(((169.78814 -0.84257947 0) (0 0 0)) ((0.042128974 8.4894069 9.4131161e-09) (0 0 0)))
0.008	(((166.61235 -0.74296382 0) (0 0 0)) ((0.037148191 8.3306175 1.0167768e-08) (0 0 0)))
0.0085	(((163.37162 -0.62454565 0) (0 0 0)) ((0.031227283 8.1685809 1.0876205e-08) (0 0 0)))
0.009	(((160.54456 -0.49781654 0) (0 0 0)) ((0.024890827 8.027228 1.1407507e-08) (0 0 0)))
0.0095	(((158.34447 -0.3680587 0) (0 0 0)) ((0.018402935 7.9172237 1.1726844e-08) (0 0 0)))
