# Time	forces(pressure, viscous) moment(pressure, viscous)
0.0015	(((-111.6092 2.0364818 -2.2003749e-16) (0 0 0)) ((-0.10182409 -5.5804598 -8.2444483e-09) (0 0 0)))
0.002	(((-84.680437 -6.8459011 -2.4215633e-16) (0 0 0)) ((0.34229505 -4.2340218 -2.9910685e-09) (0 0 0)))
0.0025	(((10.908347 -6.7724751 -4.70318e-16) (0 0 0)) ((0.33862376 0.54541733 1.3213593e-09) (0 0 0)))
0.003	(((93.585766 -6.2501783 -5.5322531e-16) (0 0 0)) ((0.31250892 4.6792883 1.5540434e-09) (0 0 0)))
0.0035	(((137.02638 -4.9981018 -5.501698e-16) (0 0 0)) ((0.24990509 6.8513191 7.1898588e-10) (0 0 0)))
0.004	(((153.43043 -4.3333454 -5.2494687e-16) (0 0 0)) ((0.21666727 7.6715213 1.0525818e-10) (0 0 0)))
0.0045	(((161.03457 -3.9966096 -5.0266821e-16) (0 0 0)) ((0.19983048 8.0517286 -2.8500021e-10) (0 0 0)))
0.005	(((166.53292 -3.7801662 -4.8501096e-16) (0 0 0)) ((0.18900831 8.3266461 -4.6960838e-10) (0 0 0)))
0.0055	(((171.06237 -3.4520956 -4.6392916e-16) (0 0 0)) ((0.17260478 8.5531187 -5.5942852e-10) (0 0 0)))
0.006	(((175.40084 -2.9674117 -4.3976512e-16) (0 0 0)) ((0.14837059 8.7700419 -5.8391731e-10) (0 0 0)))
0.0065	(((179.23092 -2.3161407 -4.1504324e-16) (0 0 0)) ((0.11580703 8.9615461 -5.6731679e-10) (0 0 0)))
0.007	(((181.89648 -1.5487487 -3.9356364e-16) (0 0 0)) ((0.077437436 9.0948242 -4.6139531e-10) (0 0 0)))
0.0075	(((183.05412 -0.72362087 -3.7712204e-16) (0 0 0)) ((0.036181043 9.1527059 -2.7019604e-10) (0 0 0)))
0.008	(((182.83181 0.096384653 -3.6646974e-16) (0 0 0)) ((-0.0048192327 9.1415905 -3.9810414e-11) (0 0 0)))
0.0085	(((181.44112 0.87778099 -3.6130712e-16) (0 0 0)) ((-0.04388905 9.0720558 1.6877475e-10) (0 0 0)))
0.009	(((179.32274 1.5342955 -3.6053282e-16) (0 0 0)) ((-0.076714777 8.9661369 3.5252529e-10) (0 0 0)))
0.0095	(((176.93747 2.034242 -3.622341e-16) (0 0 0)) ((-0.1017121 8.8468735 4.6212065e-10) (0 0 0)))
0.01	(((174.63833 2.3202824 -3.6514707e-16) (0 0 0)) ((-0.11601412 8.7319164 4.8612869e-10) (0 0 0)))
0.0105	(((172.6028 2.3706771 -3.6818585e-16) (0 0 0)) ((-0.11853385 8.63014 4.5980693e-10) (0 0 0)))
0.011	(((170.97807 2.1942898 -3.7077952e-16) (0 0 0)) ((-0.10971449 8.5489037 4.0175172e-10) (0 0 0)))
0.0115	(((169.79058 1.8249744 -3.7270576e-16) (0 0 0)) ((-0.091248721 8.4895289 3.377315e-10) (0 0 0)))
0.012	(((168.98645 1.3109915 -3.7398178e-16) (0 0 0)) ((-0.065549576 8.4493224 2.8239685e-10) (0 0 0)))
0.0125	(((168.47988 0.70829206 -3.747301e-16) (0 0 0)) ((-0.035414603 8.4239939 2.381521e-10) (0 0 0)))
0.013	(((168.23089 0.11531035 -3.7514441e-16) (0 0 0)) ((-0.0057655176 8.4115446 2.1059233e-10) (0 0 0)))
0.0135	(((168.11011 -0.38369608 -3.753294e-16) (0 0 0)) ((0.019184804 8.4055055 1.9737541e-10) (0 0 0)))
0.014	(((168.05792 -0.72388013 -3.753719e-16) (0 0 0)) ((0.036194007 8.4028961 1.953989e-10) (0 0 0)))
0.0145	(((168.03145 -0.8780743 -3.7534479e-16) (0 0 0)) ((0.043903715 8.4015723 2.0042416e-10) (0 0 0)))
0.015	(((168.00741 -0.83997797 -3.7528557e-16) (0 0 0)) ((0.041998899 8.4003704 2.0697682e-10) (0 0 0)))
0.0155	(((167.98573 -0.63041815 -3.7520817e-16) (0 0 0)) ((0.031520907 8.3992865 2.0706524e-10) (0 0 0)))
0.016	(((167.96438 -0.28288647 -3.7510914e-16) (0 0 0)) ((0.014144323 8.3982192 2.0082606e-10) (0 0 0)))
0.0165	(((167.94664 0.1500764 -3.7498197e-16) (0 0 0)) ((-0.0075038202 8.3973318 1.8914133e-10) (0 0 0)))
0.017	(((167.93771 0.60933091 -3.7482061e-16) (0 0 0)) ((-0.030466546 8.3968856 1.7333649e-10) (0 0 0)))
0.0175	(((167.93151 1.0351441 -3.7464178e-16) (0 0 0)) ((-0.051757204 8.3965755 1.5775101e-10) (0 0 0)))
0.018	(((167.92185 1.3712819 -3.7448401e-16) (0 0 0)) ((-0.068564095 8.3960927 1.4312785e-10) (0 0 0)))
0.0185	(((167.90762 1.5747773 -3.7438145e-16) (0 0 0)) ((-0.078738867 8.3953812 1.2986441e-10) (0 0 0)))
0.019	(((167.88487 1.6165645 -3.7435884e-16) (0 0 0)) ((-0.080828227 8.3942435 1.1982655e-10) (0 0 0)))
0.0195	(((167.852 1.4839232 -3.7442743e-16) (0 0 0)) ((-0.07419616 8.3925998 1.1413562e-10) (0 0 0)))
0.02	(((167.80987 1.1812414 -3.7458141e-16) (0 0 0)) ((-0.059062069 8.3904935 1.1313798e-10) (0 0 0)))
0.0205	(((167.7641 0.7284549 -3.7479883e-16) (0 0 0)) ((-0.036422745 8.388205 1.1629624e-10) (0 0 0)))
0.021	(((167.72002 0.15802197 -3.7504477e-16) (0 0 0)) ((-0.0079010986 8.3860012 1.2289562e-10) (0 0 0)))
0.0215	(((167.68623 -0.48769285 -3.7528027e-16) (0 0 0)) ((0.024384643 8.3843115 1.3182972e-10) (0 0 0)))
0.022	(((167.66808 -1.1601218 -3.7546591e-16) (0 0 0)) ((0.058006088 8.3834039 1.4227353e-10) (0 0 0)))
0.0225	(((167.67158 -1.8076161 -3.7556677e-16) (0 0 0)) ((0.090380803 8.383579 1.5337298e-10) (0 0 0)))
0.023	(((167.69868 -2.3813955 -3.7555618e-16) (0 0 0)) ((0.11906977 8.3849341 1.6455265e-10) (0 0 0)))
0.0235	(((167.74717 -2.8382544 -3.7542368e-16) (0 0 0)) ((0.14191272 8.3873583 1.7577765e-10) (0 0 0)))
0.024	(((167.8016 -3.1445935 -3.7519507e-16) (0 0 0)) ((0.15722968 8.3900798 1.898134e-10) (0 0 0)))
0.0245	(((167.8488 -3.276782 -3.7492452e-16) (0 0 0)) ((0.1638391 8.39244 2.0477675e-10) (0 0 0)))
0.025	(((167.88435 -3.2264066 -3.7466238e-16) (0 0 0)) ((0.16132033 8.3942175 2.1802485e-10) (0 0 0)))
0.0255	(((167.9 -2.9977345 -3.7444763e-16) (0 0 0)) ((0.14988673 8.3950002 2.2943387e-10) (0 0 0)))
0.026	(((167.89532 -2.608822 -3.743012e-16) (0 0 0)) ((0.1304411 8.3947659 2.3839198e-10) (0 0 0)))
0.0265	(((167.87553 -2.0894135 -3.7422451e-16) (0 0 0)) ((0.10447067 8.3937765 2.4383596e-10) (0 0 0)))
0.027	(((167.84805 -1.4797662 -3.7420404e-16) (0 0 0)) ((0.073988309 8.3924026 2.4454394e-10) (0 0 0)))
0.0275	(((167.82076 -0.82662203 -3.7421432e-16) (0 0 0)) ((0.041331102 8.3910379 2.398242e-10) (0 0 0)))
