# Time	Cd	Cl	Cm
0.0005	27.529675	0.081911273	0
0.001	0.16146142	-0.0011404373	0
0.0015	0.087445254	-0.001687458	0
0.002	0.044969702	-0.0018147688	0
0.0025	-0.010340638	-0.0019254895	0
0.003	0.028895133	-0.0017968453	0
0.0035	-0.053420898	-0.0021448495	0
0.004	0.035990887	-0.0015908055	0
0.0045	-0.063696706	-0.0020975885	0
0.005	0.038500189	-0.0014714704	0
0.0055	-0.067888727	-0.0020367212	0
0.006	0.042111731	-0.0013608299	0
0.0065	-0.068868137	-0.0019812794	0
0.007	0.045294892	-0.0012731646	0
0.0075	-0.068882615	-0.0019014434	0
0.008	0.047482881	-0.0011821899	0
0.0085	-0.067114501	-0.0018180126	0
0.009	0.048695261	-0.0011063194	0
0.0095	-0.064443559	-0.0017363114	0
0.01	0.049059266	-0.001041067	0
0.0105	-0.061086695	-0.0016787361	0
0.011	0.048321187	-0.0010031697	0
0.0115	-0.058112854	-0.0015884206	0
0.012	0.047079945	-0.00094309754	0
0.0125	-0.054916732	-0.0014990306	0
0.013	0.045697923	-0.00089309136	0
0.0135	-0.051844783	-0.0014167424	0
0.014	0.044105952	-0.00084286845	0
0.0145	-0.048838458	-0.0013394382	0
0.015	0.042623942	-0.00079572864	0
0.0155	-0.04589649	-0.0012667848	0
0.016	0.041262494	-0.00075141651	0
0.0165	-0.043039508	-0.0011984359	0
0.017	0.040019689	-0.00070962787	0
0.0175	-0.040284727	-0.0011340408	0
0.018	0.038888432	-0.00067012635	0
0.0185	-0.037553801	-0.0010776385	0
0.019	0.037785401	-0.00062888766	0
0.0195	-0.034896873	-0.0010182706	0
0.02	0.036720758	-0.00059443273	0
0.0205	-0.032370382	-0.0009634663	0
0.021	0.035729301	-0.00056137657	0
0.0215	-0.029970531	-0.0009118104	0
0.022	0.034827632	-0.00053027182	0
0.0225	-0.027741621	-0.00086278293	0
0.023	0.033983305	-0.00050097692	0
0.0235	-0.025596126	-0.00081634289	0
0.024	0.033175078	-0.00047325203	0
0.0245	-0.02354853	-0.00077210848	0
0.025	0.032410183	-0.00044714194	0
0.0255	-0.021601859	-0.00073037975	0
0.026	0.031690409	-0.00042261511	0
0.0265	-0.019761454	-0.00069097888	0
0.027	0.031016031	-0.00039942169	0
0.0275	-0.018027839	-0.00065374009	0
0.028	0.030386549	-0.00037747016	0
0.0285	-0.016399546	-0.00061859435	0
0.029	0.029800493	-0.00035679452	0
0.0295	-0.014871875	-0.00058578355	0
0.03	0.029257402	-0.00033728082	0
0.0305	-0.013440343	-0.00055454398	0
0.031	0.028751556	-0.00031858445	0
0.0315	-0.012101527	-0.00052507446	0
0.032	0.028279088	-0.00030081602	0
0.0325	-0.010849404	-0.00049731679	0
0.033	0.027836216	-0.00028401987	0
0.0335	-0.0096775965	-0.00047113822	0
0.034	0.027419366	-0.00026812062	0
0.0345	-0.008579967	-0.00044644406	0
0.035	0.027025426	-0.00025302147	0
0.0355	-0.0075501967	-0.00042308095	0
0.036	0.026651053	-0.00023860077	0
0.0365	-0.0065834254	-0.00040092732	0
0.037	0.026291747	-0.00022517274	0
0.0375	-0.0056732457	-0.00038018202	0
0.038	0.025947405	-0.00021250067	0
0.0385	-0.0048130014	-0.00036056384	0
0.039	0.025615433	-0.00020053674	0
0.0395	-0.0039977126	-0.00034200046	0
0.04	0.025293433	-0.00018925264	0
0.0405	-0.0032224446	-0.00032442266	0
0.041	0.024980059	-0.00017861823	0
0.0415	-0.0024828321	-0.0003078953	0
0.042	0.024673547	-0.00016901734	0
0.0425	-0.0017733275	-0.0002924663	0
0.043	0.02437241	-0.00015968023	0
0.0435	-0.0010858037	-0.00027820781	0
0.044	0.024060729	-0.00014976374	0
0.0445	-0.00036734548	-0.00026481482	0
0.045	0.023680669	-0.0001407758	0
0.0455	0.00041537834	-0.00025166106	0
0.046	0.023223775	-0.0001326359	0
0.0465	0.0019422502	-0.00023880061	0
0.047	0.022184587	-0.00012543573	0
0.0475	0.0031046496	-0.00022293638	0
0.048	0.02123942	-0.00012075109	0
0.0485	0.0046493913	-0.00020960823	0
0.049	0.019995775	-0.00011648737	0
0.0495	0.0060826088	-0.00019476216	0
0.05	0.018760448	-0.00011409584	0
0.0505	0.0077201472	-0.00018069778	0
0.051	0.017370948	-0.00011230128	0
0.0515	0.0092566758	-0.00016572114	0
0.052	0.01602908	-0.00011195052	0
0.0525	0.010768545	-0.00015270349	0
0.053	0.014732927	-0.00011397876	0
0.0535	0.011909131	-0.00013704015	0
0.054	0.013735652	-0.00011494111	0
0.0545	0.012709729	-0.00012506044	0
0.055	0.013068921	-0.00011380533	0
0.0555	0.012875398	-0.00011313034	0
0.056	0.012767541	-0.00011136229	0
0.0565	0.012704102	-0.00010927491	0
0.057	0.012675339	-0.00010701514	0
0.0575	0.012672926	-0.00010466313	0
0.058	0.012689917	-0.00010222762	0
0.0585	0.012720382	-9.9742836e-05	0
0.059	0.012759408	-9.7234667e-05	0
0.0595	0.012803479	-9.4733591e-05	0
0.06	0.012850338	-9.2262396e-05	0
0.0605	0.012898683	-8.9830267e-05	0
0.061	0.012947776	-8.7446912e-05	0
0.0615	0.012997181	-8.5118469e-05	0
0.062	0.013046619	-8.2839394e-05	0
0.0625	0.013095901	-8.0613001e-05	0
0.063	0.013144891	-7.8438635e-05	0
0.0635	0.013193563	-7.6296302e-05	0
0.064	0.013241955	-7.4226574e-05	0
0.0645	0.0132895	-7.2259233e-05	0
0.065	0.013336455	-7.0289748e-05	0
0.0655	0.01338281	-6.8368268e-05	0
0.066	0.013428534	-6.6486036e-05	0
0.0665	0.013473607	-6.4649841e-05	0
0.067	0.013518248	-6.2906766e-05	0
0.0675	0.013562523	-6.1155407e-05	0
0.068	0.013606113	-5.9445758e-05	0
0.0685	0.013648992	-5.7777738e-05	0
0.069	0.01369116	-5.6149542e-05	0
0.0695	0.013732617	-5.4560511e-05	0
0.07	0.013773362	-5.3009053e-05	0
0.0705	0.013813397	-5.1494613e-05	0
0.071	0.013852721	-5.0015728e-05	0
0.0715	0.01389134	-4.8572635e-05	0
0.072	0.013929248	-4.7163149e-05	0
0.0725	0.013966457	-4.5787176e-05	0
0.073	0.014002965	-4.4443418e-05	0
0.0735	0.014038892	-4.3090511e-05	0
0.074	0.014075732	-4.1777625e-05	0
0.0745	0.014111923	-4.0528151e-05	0
0.075	0.014147378	-3.9305653e-05	0
0.0755	0.014182108	-3.8111644e-05	0
0.076	0.014216108	-3.6948131e-05	0
0.0765	0.01424939	-3.5811702e-05	0
0.077	0.014281952	-3.4701264e-05	0
0.0775	0.014313814	-3.3616666e-05	0
0.078	0.014344968	-3.2556597e-05	0
0.0785	0.014375434	-3.1520853e-05	0
0.079	0.01440507	-3.0609831e-05	0
0.0795	0.014433902	-2.962553e-05	0
0.08	0.014462075	-2.8661697e-05	0
0.0805	0.014489602	-2.7717351e-05	0
0.081	0.014516505	-2.6792922e-05	0
0.0815	0.014542793	-2.5887994e-05	0
0.082	0.014568478	-2.5002359e-05	0
0.0825	0.014593576	-2.413616e-05	0
0.083	0.01461809	-2.3288696e-05	0
0.0835	0.014642032	-2.246011e-05	0
0.084	0.014665409	-2.1649893e-05	0
0.0845	0.014688232	-2.0857289e-05	0
0.085	0.014710509	-2.0081919e-05	0
0.0855	0.01473225	-1.9323514e-05	0
0.086	0.014753459	-1.8581198e-05	0
0.0865	0.014774139	-1.7846461e-05	0
0.087	0.014793946	-1.7085922e-05	0
0.0875	0.014813201	-1.6390653e-05	0
0.088	0.014831985	-1.5710514e-05	0
0.0885	0.014850302	-1.5044496e-05	0
0.089	0.014868166	-1.4392911e-05	0
0.0895	0.01488558	-1.3754894e-05	0
0.09	0.014902556	-1.3130243e-05	0
0.0905	0.0149191	-1.2518418e-05	0
0.091	0.014935225	-1.1920074e-05	0
0.0915	0.014951062	-1.1391749e-05	0
0.092	0.01496737	-1.1055099e-05	0
0.0925	0.014983806	-1.0518185e-05	0
0.093	0.014999851	-9.9477884e-06	0
0.0935	0.015015449	-9.3890425e-06	0
0.094	0.015030603	-8.8420307e-06	0
0.0945	0.015045512	-8.4336554e-06	0
0.095	0.015060286	-7.9046156e-06	0
0.0955	0.015074628	-7.3847017e-06	0
0.096	0.015088564	-6.8768916e-06	0
0.0965	0.015102113	-6.3806155e-06	0
0.097	0.01511527	-5.8925552e-06	0
0.0975	0.015128062	-5.4155636e-06	0
0.098	0.015140492	-4.9490011e-06	0
0.0985	0.015152803	-4.5145402e-06	0
0.099	0.015164836	-4.0634875e-06	0
0.0995	0.01517622	-3.5785974e-06	0
0.1	0.015186881	-3.1471371e-06	0
0.1005	0.01519725	-2.72328e-06	0
0.101	0.015207337	-2.3080038e-06	0
0.1015	0.015217147	-1.9005486e-06	0
0.102	0.0152267	-1.5016666e-06	0
0.1025	0.015235993	-1.1102082e-06	0
0.103	0.015245034	-7.2572747e-07	0
0.1035	0.01525384	-3.4998965e-07	0
0.104	0.015262409	2.0210592e-08	0
0.1045	0.015270757	3.8198183e-07	0
0.105	0.015278881	7.3808102e-07	0
0.1055	0.015286798	1.0869358e-06	0
0.106	0.015294512	1.428591e-06	0
0.1065	0.015302025	1.7651514e-06	0
0.107	0.015309335	2.0676972e-06	0
0.1075	0.015316457	2.3537194e-06	0
0.108	0.015323379	2.6637464e-06	0
0.1085	0.015330128	2.9748657e-06	0
0.109	0.015336764	3.0518655e-06	0
0.1095	0.015343301	3.366671e-06	0
0.11	0.015349675	3.6808596e-06	0
0.1105	0.0153559	3.9888125e-06	0
0.111	0.015361977	4.2907631e-06	0
0.1115	0.01536791	4.5866929e-06	0
0.112	0.015373706	4.8778766e-06	0
0.1125	0.01537937	5.1631761e-06	0
0.113	0.015384906	5.4430562e-06	0
0.1135	0.01539032	5.7176651e-06	0
0.114	0.015395616	5.9871156e-06	0
0.1145	0.0154008	6.2512319e-06	0
0.115	0.015405907	6.497317e-06	0
0.1155	0.015410918	6.7509373e-06	0
0.116	0.015415815	6.9998508e-06	0
0.1165	0.01542051	7.2451711e-06	0
0.117	0.015425112	7.4859914e-06	0
0.1175	0.015429624	7.7222907e-06	0
0.118	0.015434052	7.9542087e-06	0
0.1185	0.015438399	8.1818593e-06	0
0.119	0.015442669	8.4061167e-06	0
0.1195	0.015446866	8.6247415e-06	0
0.12	0.015450993	8.8401255e-06	0
0.1205	0.015455053	9.0516112e-06	0
0.121	0.01545905	9.2600007e-06	0
0.1215	0.015462912	9.4023299e-06	0
0.122	0.015466447	9.4545183e-06	0
0.1225	0.015469759	9.6612207e-06	0
0.123	0.015473045	9.8664238e-06	0
0.1235	0.015476301	1.0066603e-05	0
0.124	0.015479535	1.0263578e-05	0
0.1245	0.015482743	1.0457271e-05	0
0.125	0.01548593	1.0647057e-05	0
0.1255	0.015489097	1.0832699e-05	0
0.126	0.015492248	1.1016071e-05	0
0.1265	0.015495382	1.1195452e-05	0
0.127	0.015498508	1.1338818e-05	0
0.1275	0.015501749	1.1372318e-05	0
0.128	0.015505001	1.1544611e-05	0
0.1285	0.015508231	1.1715512e-05	0
0.129	0.015511443	1.1882695e-05	0
0.1295	0.015514637	1.2046013e-05	0
0.13	0.015517821	1.2208116e-05	0
0.1305	0.01552099	1.2366105e-05	0
0.131	0.015524151	1.252272e-05	0
0.1315	0.0155273	1.2675532e-05	0
0.132	0.015530442	1.2826183e-05	0
0.1325	0.015533579	1.2974755e-05	0
0.133	0.015536707	1.3119878e-05	0
0.1335	0.015539834	1.3263458e-05	0
0.134	0.015542955	1.3403562e-05	0
0.1345	0.015546079	1.3542562e-05	0
0.135	0.015549199	1.3678213e-05	0
0.1355	0.015552321	1.381228e-05	0
0.136	0.015555446	1.3944312e-05	0
0.1365	0.015558575	1.4074598e-05	0
0.137	0.015561706	1.4201889e-05	0
0.1375	0.015564843	1.4327506e-05	0
0.138	0.015567987	1.4451086e-05	0
0.1385	0.015571138	1.4572653e-05	0
0.139	0.015574297	1.4692246e-05	0
0.1395	0.015577466	1.4810316e-05	0
0.14	0.015580646	1.4916589e-05	0
0.1405	0.015583922	1.5009311e-05	0
0.141	0.015587214	1.5122822e-05	0
0.1415	0.01559055	1.5025147e-05	0
0.142	0.015594	1.5141454e-05	0
0.1425	0.015597446	1.5249871e-05	0
0.143	0.01560082	1.5363031e-05	0
0.1435	0.015604138	1.5470351e-05	0
0.144	0.015607456	1.5576459e-05	0
0.1445	0.015610775	1.5681088e-05	0
0.145	0.015614097	1.5783813e-05	0
0.1455	0.015617422	1.5884823e-05	0
0.146	0.015620755	1.598471e-05	0
0.1465	0.015624091	1.6082288e-05	0
0.147	0.015627436	1.6178905e-05	0
0.1475	0.015630787	1.6273601e-05	0
0.148	0.015634145	1.6366378e-05	0
0.1485	0.015637514	1.6458297e-05	0
0.149	0.015640891	1.6548028e-05	0
0.1495	0.015644282	1.6636142e-05	0
0.15	0.015647681	1.6722499e-05	0
0.1505	0.015651095	1.6808552e-05	0
0.151	0.01565452	1.68925e-05	0
0.1515	0.015657961	1.6975729e-05	0
0.152	0.015661415	1.7057124e-05	0
0.1525	0.015664886	1.7137238e-05	0
0.153	0.015668372	1.721544e-05	0
0.1535	0.015671876	1.7293071e-05	0
0.154	0.015675397	1.7369145e-05	0
0.1545	0.015678935	1.744336e-05	0
0.155	0.015682494	1.751702e-05	0
0.1555	0.015686069	1.7588324e-05	0
0.156	0.015689666	1.7658656e-05	0
0.1565	0.015693283	1.7728136e-05	0
0.157	0.015696921	1.7796288e-05	0
0.1575	0.015700561	1.7862202e-05	0
0.158	0.015704223	1.7928303e-05	0
0.1585	0.015707907	1.7993433e-05	0
0.159	0.015711612	1.8057511e-05	0
0.1595	0.015715322	1.8157466e-05	0
0.16	0.01571905	1.8220612e-05	0
0.1605	0.015722803	1.8282388e-05	0
0.161	0.015726577	1.8342431e-05	0
0.1615	0.015730377	1.8401981e-05	0
0.162	0.0157342	1.8460155e-05	0
0.1625	0.01573805	1.8516078e-05	0
0.163	0.015741941	1.857016e-05	0
0.1635	0.015745858	1.8627416e-05	0
0.164	0.015749798	1.8682817e-05	0
0.1645	0.015753766	1.8738355e-05	0
0.165	0.015757756	1.8791739e-05	0
0.1655	0.015761774	1.8845004e-05	0
0.166	0.015765816	1.8896282e-05	0
0.1665	0.015769883	1.8946081e-05	0
0.167	0.015773979	1.8996232e-05	0
