# Time	Cd	Cl	Cm
0.0005	5151.0765	0.38895096	0
0.001	1617.317	37.131408	0
0.0015	593.68967	5.5022791	0
0.002	540.05873	2.0652682	0
0.0025	550.21813	0.67176043	0
0.003	556.53115	-0.4999308	0
0.0035	566.80491	-0.77231851	0
0.004	573.44132	-4.0450638	0
0.0045	590.5758	-2.6325783	0
0.005	601.33293	-3.4718559	0
0.0055	617.64925	-6.0544028	0
0.006	631.08392	-3.5566743	0
0.0065	642.28812	-1.8647038	0
0.007	651.23813	-0.75674175	0
0.0075	661.27979	-0.21715366	0
0.008	666.81854	-0.48356076	0
0.0085	669.23669	-2.0973028	0
0.009	669.63183	-3.8816255	0
0.0095	666.26851	-6.97886	0
0.01	661.54807	-10.561162	0
0.0105	656.49637	-14.515183	0
0.011	651.60323	-18.420911	0
0.0115	647.20695	-22.245929	0
0.012	643.30112	-25.30336	0
0.0125	639.43507	-27.032708	0
0.013	635.43781	-27.067561	0
0.0135	632.04543	-25.99362	0
0.014	628.40197	-23.208531	0
0.0145	625.10988	-18.920244	0
0.015	622.21912	-13.337524	0
0.0155	619.72104	-6.7498853	0
0.016	617.52215	0.65054122	0
0.0165	615.583	8.6963393	0
0.017	614.0388	17.489077	0
0.0175	612.91151	27.013127	0
0.018	612.07285	36.593377	0
0.0185	611.54685	45.988195	0
0.019	611.28573	54.84716	0
0.0195	611.37448	62.786569	0
0.02	611.69451	69.327757	0
0.0205	612.127	74.086386	0
0.021	612.47139	76.633128	0
0.0215	612.38972	76.768674	0
0.022	612.11727	74.492936	0
0.0225	611.54867	69.988873	0
0.023	610.64326	63.360654	0
0.0235	609.45752	54.78693	0
0.024	607.94827	44.638669	0
0.0245	606.00614	33.670261	0
0.025	603.96234	22.611242	0
0.0255	601.75063	12.108564	0
0.026	599.56584	2.6704149	0
0.0265	597.57359	-5.132084	0
0.027	595.84162	-11.022964	0
0.0275	594.12809	-14.643452	0
0.028	592.42255	-15.76447	0
0.0285	590.92765	-14.182293	0
0.029	589.75736	-10.220412	0
0.0295	588.73089	-4.2536277	0
0.03	588.03316	3.4674301	0
0.0305	587.49212	12.054264	0
0.031	586.99962	20.766324	0
0.0315	586.62472	29.072684	0
0.032	586.35831	36.524539	0
0.0325	586.08302	42.941527	0
0.033	586.02047	48.016313	0
0.0335	586.17436	51.363752	0
0.034	586.50346	52.736863	0
0.0345	586.91164	52.050954	0
0.035	587.35952	49.212601	0
0.0355	587.55227	44.272916	0
0.036	587.35005	37.395328	0
0.0365	586.67436	28.818309	0
0.037	585.56131	18.885447	0
0.0375	584.18328	8.1097927	0
0.038	582.85533	-3.0102591	0
0.0385	581.46761	-14.153845	0
0.039	580.27252	-24.440979	0
0.0395	578.94661	-33.105526	0
0.04	578.0375	-39.825759	0
0.0405	577.82282	-44.120994	0
0.041	578.1778	-45.785243	0
0.0415	578.62521	-44.34176	0
0.042	579.21741	-39.47862	0
0.0425	579.91284	-31.482269	0
0.043	580.438	-20.834972	0
0.0435	581.02492	-7.8913315	0
0.044	581.68186	6.6533906	0
0.0445	582.2246	22.199115	0
0.045	582.76389	37.973521	0
0.0455	583.37494	52.741977	0
0.046	584.25433	65.682909	0
0.0465	585.38884	75.883773	0
0.047	586.68972	83.001273	0
0.0475	588.1731	86.27256	0
0.048	589.85758	85.46155	0
0.0485	591.35563	79.998915	0
0.049	592.40996	69.99539	0
0.0495	592.97703	56.039084	0
0.05	592.41464	38.327556	0
0.0505	591.08858	17.301266	0
0.051	589.28336	-6.1847128	0
0.0515	587.74394	-31.133815	0
0.052	586.56347	-56.46314	0
0.0525	586.40708	-80.405064	0
0.053	587.38193	-101.11714	0
0.0535	589.65372	-117.14208	0
0.054	592.88313	-126.97398	0
0.0545	596.64719	-129.49479	0
0.055	600.39576	-123.3912	0
0.0555	603.18504	-108.73382	0
0.056	605.23393	-85.992709	0
0.0565	606.48688	-56.01837	0
0.057	606.06665	-19.489887	0
0.0575	604.19513	21.984838	0
0.058	602.3602	66.196414	0
0.0585	602.20714	110.71011	0
0.059	604.43575	152.60737	0
0.0595	608.66487	187.33554	0
0.06	615.4241	212.22248	0
0.0605	623.933	225.77666	0
0.061	632.3047	225.77058	0
0.0615	639.7696	211.06552	0
0.062	644.31633	183.08722	0
0.0625	645.15025	141.94959	0
0.063	642.69757	88.605527	0
0.0635	637.51142	23.883315	0
0.064	632.2592	-49.00479	0
0.0645	630.42339	-124.42224	0
0.065	631.93844	-195.59105	0
0.0655	638.04653	-256.94691	0
0.066	649.21755	-302.82743	0
0.0665	663.20227	-328.6764	0
0.067	678.34366	-333.38886	0
0.0675	691.29801	-314.56753	0
0.068	699.16199	-273.3918	0
0.0685	699.96585	-210.37163	0
0.069	694.60369	-127.64667	0
0.0695	684.86105	-28.93385	0
0.07	675.0381	76.910033	0
0.0705	669.13316	182.02308	0
0.071	669.48707	277.97365	0
0.0715	676.92393	356.55638	0
0.072	691.63525	409.23228	0
0.0725	710.19826	432.48104	0
0.073	729.84607	426.61877	0
0.0735	744.86381	389.58485	0
0.074	749.99561	325.44688	0
0.0745	745.10857	235.13358	0
0.075	733.97162	122.5907	0
0.0755	719.00376	-3.181979	0
0.076	704.6055	-130.16047	0
0.0765	695.56827	-248.058	0
0.077	695.28449	-349.49303	0
0.0775	703.10809	-426.20998	0
0.078	719.29332	-467.89964	0
0.0785	739.59252	-476.17913	0
0.079	758.51221	-449.76184	0
0.0795	771.16885	-390.55682	0
0.08	772.71473	-300.32502	0
0.0805	762.57769	-182.62943	0
0.081	745.90177	-47.980921	0
0.0815	729.3045	92.278363	0
0.082	715.37501	225.16117	0
0.0825	709.15502	341.8294	0
0.083	713.13665	434.15231	0
0.0835	727.26442	491.17078	0
0.084	747.24086	510.98526	0
0.0845	769.29478	496.73902	0
0.085	785.52939	445.64804	0
0.0855	789.99392	364.97043	0
0.086	782.118	253.73507	0
0.0865	765.78156	119.57521	0
0.087	746.64876	-26.836404	0
0.0875	729.41822	-168.58229	0
0.088	716.70557	-295.57153	0
0.0885	713.70949	-402.14345	0
0.089	721.3506	-478.54075	0
0.0895	737.60019	-514.2258	0
0.09	759.44111	-513.88402	0
0.0905	779.76082	-476.71296	0
0.091	790.60249	-405.1059	0
0.0915	790.09279	-301.15262	0
0.092	777.08392	-170.53027	0
0.0925	758.77542	-23.175729	0
0.093	740.52579	124.3534	0
0.0935	725.23536	261.77218	0
0.094	718.63867	379.94443	0
0.0945	722.7149	468.36326	0
0.095	737.36296	518.94452	0
0.0955	758.37229	531.02425	0
0.096	780.92485	508.05947	0
0.0965	795.93166	447.70351	0
0.097	798.61924	356.5293	0
0.0975	788.40716	236.6441	0
0.098	770.62762	93.973532	0
0.0985	750.40227	-57.014297	0
0.099	732.78264	-200.65225	0
0.0995	720.31119	-327.98309	0
0.1	718.86141	-432.16084	0
0.1005	727.11309	-500.84904	0
0.101	744.58968	-528.54848	0
0.1015	767.33471	-520.297	0
0.102	786.99864	-474.52569	0
0.1025	796.06933	-394.69217	0
0.103	793.11767	-282.11147	0
0.1035	778.61094	-144.59034	0
0.104	759.71288	7.1360082	0
0.1045	741.23468	155.76051	0
0.105	725.96446	291.4029	0
0.1055	721.48632	406.37961	0
0.106	727.4402	488.7237	0
0.1065	743.33513	530.45659	0
0.107	765.1884	535.02213	0
0.1075	787.21583	503.71751	0
0.108	799.88812	436.55281	0
0.1085	800.37112	337.23843	0
0.109	787.92569	210.88638	0
0.1095	769.14806	63.173863	0
0.11	748.97818	-88.511413	0
0.1105	731.40274	-230.35918	0
0.111	720.63359	-354.78204	0
0.1115	720.908	-453.19631	0
0.112	730.9929	-513.35995	0
0.1125	750.17611	-533.64575	0
0.113	772.92271	-517.46065	0
0.1135	791.42085	-463.69048	0
0.114	798.186	-376.59552	0
0.1145	792.22	-257.31943	0
0.115	776.52498	-114.74653	0
0.1155	757.21135	38.506805	0
0.116	738.93278	186.2493	0
0.1165	724.83281	317.67084	0
0.117	722.61037	427.45403	0
0.1175	730.83311	502.78635	0
0.118	748.36757	536.22291	0
0.1185	770.77743	533.60288	0
0.119	791.58655	494.42027	0
0.1195	801.78081	420.54162	0
0.12	799.65069	314.48097	0
0.1205	785.16473	182.9273	0
0.121	765.83307	31.774535	0
0.1215	746.12871	-119.04636	0
0.122	728.80309	-257.57012	0
0.1225	720.25308	-377.99149	0
0.123	722.15998	-469.55691	0
0.1235	734.49784	-521.58703	0
0.124	755.01738	-534.32344	0
0.1245	777.68856	-510.45795	0
0.125	794.90614	-447.42501	0
0.1255	799.05262	-354.48471	0
0.126	790.19529	-230.08037	0
0.1265	773.4573	-83.78845	0
0.127	753.89945	69.407263	0
0.1275	735.91458	215.21587	0
0.128	724.09537	343.64461	0
0.1285	723.54216	447.06747	0
0.129	733.90384	513.83279	0
0.1295	752.51237	539.03066	0
0.13	775.60576	529.52638	0
0.1305	794.83251	482.57653	0
0.131	802.52397	402.12878	0
0.1315	797.70749	290.0448	0
0.132	782.03686	153.56725	0
0.1325	761.9197	0.91913094	0
0.133	742.71094	-148.77475	0
0.1335	726.26873	-283.39263	0
0.134	720.32263	-399.26955	0
0.1345	723.74835	-482.95547	0
0.135	738.83904	-527.56625	0
0.1355	759.86439	-532.4253	0
0.136	782.26332	-500.89496	0
0.1365	796.37322	-432.43889	0
0.137	798.33535	-331.68281	0
0.1375	787.21472	-202.24748	0
0.138	769.31433	-52.930208	0
0.1385	749.83996	99.330397	0
0.139	732.55646	242.46007	0
0.1395	722.97165	366.94147	0
0.14	724.67201	463.86292	0
0.1405	736.63059	521.49115	0
0.141	757.11992	539.79592	0
0.1415	779.92425	522.77478	0
0.142	797.62678	467.85601	0
0.1425	802.7476	381.29435	0
0.143	795.09069	263.79803	0
0.1435	778.26867	122.85197	0
0.144	757.72912	-30.354305	0
0.1445	739.08307	-178.09125	0
0.145	724.30108	-309.87837	0
0.1455	720.0239	-418.81124	0
0.146	726.3476	-496.08016	0
0.1465	742.36809	-531.13752	0
0.147	764.89129	-529.2735	0
0.1475	786.1083	-489.86069	0
0.148	797.61428	-415.12234	0
0.1485	797.11202	-307.34184	0
0.149	784.08419	-172.91812	0
0.1495	765.31215	-21.326374	0
0.15	746.13071	129.48028	0
0.1505	729.65953	269.44092	0
0.151	722.50602	389.35939	0
0.1515	726.21947	478.54849	0
0.152	740.26145	527.79133	0
0.1525	761.55249	538.82585	0
0.153	784.45773	514.27173	0
0.1535	799.75026	451.99684	0
0.154	802.40886	358.54559	0
0.1545	792.02084	236.4097	0
0.155	774.05854	91.449633	0
0.1555	753.38945	-61.465847	0
0.156	735.33439	-206.5687	0
0.1565	722.42774	-334.75997	0
0.157	720.75837	-438.82671	0
0.1575	728.946	-506.96407	0
0.158	746.548	-533.63513	0
0.1585	769.51499	-524.14706	0
0.159	789.25761	-476.90539	0
0.1595	798.2521	-395.46082	0
0.16	795.02681	-281.11567	0
0.1605	780.35059	-142.00855	0
0.161	761.21324	10.970737	0
0.1615	742.51393	160.42145	0
0.162	726.94659	296.1635	0
0.1625	722.56104	411.06818	0
0.163	728.62859	492.6213	0
0.1635	744.73127	533.44502	0
0.164	766.68306	536.92135	0
0.1645	788.69508	504.38911	0
0.165	801.16927	436.01108	0
0.1655	801.34236	335.3299	0
0.166	788.63695	207.80168	0
0.1665	769.7077	58.975147	0
0.167	749.4411	-93.028623	0
0.1675	731.75395	-234.85695	0
0.168	721.11611	-359.0461	0
0.1685	721.50875	-456.74516	0
0.169	731.79583	-515.79338	0
0.1695	751.23899	-535.1632	0
0.17	774.00573	-517.78035	0
0.1705	792.35915	-462.78228	0
0.171	798.83918	-374.56565	0
0.1715	792.50003	-254.23469	0
0.172	776.65819	-110.82674	0
0.1725	757.2482	42.759283	0
0.173	738.94473	190.52767	0
0.1735	725.09914	321.8644	0
0.174	722.93065	430.60115	0
0.1745	731.41759	504.97429	0
0.175	749.22613	537.39745	0
0.1755	771.66643	533.73294	0
0.176	792.31382	493.42256	0
0.1765	802.21039	418.53936	0
0.177	799.72035	311.49872	0
0.1775	785.05265	179.11866	0
0.178	765.54694	27.582393	0
0.1785	745.8838	-123.2583	0
0.179	728.55516	-261.30167	0
0.1795	720.35597	-381.25906	0
0.18	722.46617	-471.84817	0
0.1805	735.13998	-522.77161	0
0.181	755.74344	-534.34832	0
0.1815	778.53475	-509.5041	0
0.182	795.67785	-444.66034	0
0.1825	799.40587	-351.13287	0
0.183	790.10276	-226.18292	0
0.1835	773.17374	-79.406105	0
0.184	753.55179	73.749224	0
0.1845	735.59504	219.23208	0
0.185	724.04559	347.17549	0
0.1855	723.81805	449.81462	0
0.186	734.3173	515.14188	0
0.1865	753.18266	539.26769	0
0.187	776.26545	528.6583	0
0.1875	795.31607	480.64584	0
0.188	802.64038	399.25391	0
0.1885	797.44167	286.32636	0
0.189	781.60896	149.14596	0
0.1895	761.41111	-3.6986303	0
0.19	742.26188	-153.15759	0
0.1905	726.0879	-287.46141	0
0.191	720.40332	-402.38897	0
0.1915	724.04705	-484.88612	0
0.192	739.50117	-528.43493	0
0.1925	760.63453	-532.18028	0
0.193	782.89597	-499.50847	0
0.1935	796.62349	-430.15866	0
0.194	798.22277	-328.32406	0
0.1945	786.83271	-198.10426	0
0.195	768.73192	-48.371203	0
0.1955	749.27447	103.68304	0
0.196	732.09744	246.39368	0
0.1965	722.86362	370.28459	0
0.197	724.87377	466.16096	0
0.1975	737.12372	522.58668	0
0.198	757.79115	539.85321	0
0.1985	780.60224	521.74048	0
0.199	798.08602	465.4743	0
0.1995	802.82173	378.09989	0
0.2	794.74852	259.88129	0
0.2005	777.75667	118.31067	0
0.201	757.17639	-34.891415	0
0.2015	738.58927	-182.35498	0
0.202	724.03712	-313.65072	0
0.2025	720.21459	-422.0872	0
0.203	726.74383	-498.0006	0
0.2035	742.96076	-531.76146	0
0.204	765.56408	-528.77943	0
0.2045	786.59976	-488.21912	0
0.205	797.7562	-412.49238	0
0.2055	796.8884	-303.68988	0
0.206	783.60681	-168.5376	0
0.2065	764.76307	-16.653363	0
0.207	745.63816	134.0096	0
0.2075	729.29934	273.48191	0
0.208	722.53096	392.73736	0
0.2085	726.52226	480.68256	0
0.209	740.96685	528.89878	0
0.2095	762.30101	538.71649	0
0.21	785.11095	513.02093	0
0.2105	799.96424	449.9855	0
0.211	802.30051	355.3618	0
0.2115	791.58404	232.37818	0
0.212	773.4498	86.831903	0
0.2125	752.79365	-66.0123	0
0.213	734.79361	-210.72411	0
0.2135	722.20706	-338.41329	0
0.214	720.85225	-441.61389	0
0.2145	729.36546	-508.44199	0
0.215	747.21897	-533.98478	0
0.2155	770.22234	-523.3825	0
0.216	789.73635	-474.99467	0
0.2165	798.36582	-392.54562	0
0.217	794.6987	-277.29157	0
0.2175	779.81198	-137.48423	0
0.218	760.64439	15.665601	0
0.2185	742.00802	164.88837	0
0.219	726.55891	299.85005	0
0.2195	722.58648	413.99722	0
0.22	729.05719	494.60961	0
0.2205	745.37571	534.08607	0
0.221	767.43302	536.547	0
0.2215	789.28203	502.86933	0
0.222	801.36536	433.54267	0
0.2225	801.17791	331.89524	0
0.223	788.13679	203.63012	0
0.2235	769.12812	54.275439	0
0.224	748.94238	-97.529822	0
0.2245	731.30596	-238.87656	0
0.225	720.99479	-362.43722	0
0.2255	721.64405	-459.16446	0
0.226	732.20983	-516.87852	0
0.2265	751.90149	-535.23962	0
0.227	774.65286	-516.7243	0
0.2275	792.76472	-460.52206	0
0.228	798.88647	-371.36738	0
0.2285	792.11833	-250.2289	0
0.229	776.14827	-106.26515	0
0.2295	756.71655	47.291422	0
0.23	738.45123	194.79755	0
0.2305	724.94947	325.71298	0
0.231	722.90371	433.15154	0
0.2315	731.76986	506.4689	0
0.232	749.90886	537.85654	0
0.2325	772.37295	533.15128	0
0.233	792.79906	491.73563	0
0.2335	802.33403	415.92111	0
0.234	799.45	308.02014	0
0.2345	784.57974	174.94558	0
0.235	764.92832	23.217486	0
0.2355	745.33165	-127.47228	0
