# Time	forces(pressure, viscous) moment(pressure, viscous)
0.0005	(((2462.0835 0.10045497 4.6376362e-17) (113.45479 0.094020508 -3.0216042e-16)) ((-0.0050227486 123.10417 2.8409918e-08) (-0.0047010254 5.6727395 -0.015932385)))
0.001	(((804.41094 18.512344 -3.3324154e-16) (4.247539 0.053359949 1.293283e-16)) ((-0.92561721 40.220547 -1.8411181e-10) (-0.0026679975 0.21237695 0.0019231689)))
0.0015	(((288.0585 2.740475 -5.3857591e-16) (8.7863336 0.010664567 1.0453967e-16)) ((-0.13702375 14.402925 -1.2641414e-09) (-0.00053322837 0.43931668 -0.0029796235)))
0.002	(((262.26096 1.0227949 -4.2358873e-16) (7.768406 0.0098391355 1.3032691e-16)) ((-0.051139747 13.113048 -4.1027294e-10) (-0.00049195678 0.3884203 -0.002016686)))
0.0025	(((268.12921 0.32435613 -4.6829341e-16) (6.9798493 0.011524087 1.3814894e-16)) ((-0.016217807 13.406461 7.7349892e-10) (-0.00057620435 0.34899246 -0.0010710921)))
0.003	(((271.87464 -0.26219553 -4.5571018e-16) (6.3909373 0.01223013 1.4226793e-16)) ((0.013109777 13.593732 9.0963165e-10) (-0.00061150652 0.31954686 -0.00039882213)))
0.0035	(((277.444 -0.39853218 -4.4836343e-16) (5.9584525 0.012372927 1.4271015e-16)) ((0.019926609 13.8722 7.1431352e-10) (-0.00061864633 0.29792262 2.8620299e-05)))
0.004	(((281.09993 -2.0309856 -4.4477406e-16) (5.6207274 0.0084536703 1.4361542e-16)) ((0.10154928 14.054997 4.30599e-10) (-0.00042268351 0.28103637 1.2901334e-05)))
0.0045	(((289.923 -1.322322 -4.3423552e-16) (5.3648966 0.0060328971 1.4178705e-16)) ((0.066116102 14.49615 2.5622157e-10) (-0.00030164485 0.26824483 1.9662001e-06)))
0.005	(((295.45575 -1.7399404 -4.4066872e-16) (5.2107198 0.0040123923 1.442209e-16)) ((0.086997018 14.772787 3.3067576e-12) (-0.00020061962 0.26053599 0.00020631365)))
0.0055	(((303.74636 -3.0285494 -4.3944562e-16) (5.0782645 0.0013479772 1.4580651e-16)) ((0.15142747 15.187318 -1.01086e-10) (-6.7398862e-05 0.25391322 0.00010461652)))
0.006	(((310.52059 -1.777483 -4.4821171e-16) (5.0213699 -0.0008541638 1.4839551e-16)) ((0.088874148 15.52603 -1.5619102e-10) (4.270819e-05 0.25106849 -0.00067134981)))
0.0065	(((316.19019 -0.93673202 -4.5425579e-16) (4.9538764 0.0043801429 1.5286758e-16)) ((0.046836601 15.809509 -1.9648309e-10) (-0.00021900715 0.24769382 0.00020322072)))
0.007	(((320.72164 -0.38591076 -4.5814964e-16) (4.8974271 0.0075398878 1.5602729e-16)) ((0.019295538 16.036082 -1.313009e-10) (-0.00037699439 0.24487135 0.00057504679)))
0.0075	(((325.78118 -0.11701091 -4.5736897e-16) (4.8587097 0.0084340768 1.5790616e-16)) ((0.0058505453 16.289059 -9.053934e-11) (-0.00042170384 0.24293548 0.00054832692)))
0.008	(((328.57295 -0.24693325 -4.5364084e-16) (4.8363191 0.0051528658 1.5848296e-16)) ((0.012346662 16.428648 -6.6589442e-11) (-0.00025764329 0.24181595 1.4025258e-05)))
0.0085	(((329.80277 -1.0454442 -4.4662411e-16) (4.8155734 -0.0032072307 1.5801406e-16)) ((0.052272209 16.490139 -6.2405511e-11) (0.00016036154 0.24077867 -0.00083346859)))
0.009	(((330.02028 -1.9260732 -4.3980106e-16) (4.7956321 -0.014739529 1.5619259e-16)) ((0.096303662 16.501014 -2.8402128e-11) (0.00073697647 0.2397816 -0.0017002077)))
0.0095	(((328.36458 -3.4604071 -4.3324136e-16) (4.7696765 -0.029022872 1.529738e-16)) ((0.17302036 16.418229 -2.3843233e-11) (0.0014511436 0.23848383 -0.0025390456)))
0.01	(((326.03608 -5.2362285 -4.2659283e-16) (4.7379599 -0.044352473 1.4996508e-16)) ((0.26181142 16.301804 -3.3275396e-11) (0.0022176237 0.236898 -0.0031688535)))
0.0105	(((323.54304 -7.1974687 -4.2134667e-16) (4.7051474 -0.060122603 1.4833899e-16)) ((0.35987343 16.177152 -4.072212e-11) (0.0030061302 0.23525737 -0.0035329463)))
0.011	(((321.12985 -9.1351524 -4.1731216e-16) (4.6717651 -0.075302955 1.4730793e-16)) ((0.45675762 16.056492 -1.8143029e-11) (0.0037651478 0.23358826 -0.0036190431)))
0.0115	(((318.96263 -11.033187 -4.1431644e-16) (4.6408485 -0.089778079 1.4666827e-16)) ((0.55165933 15.948131 2.1422572e-11) (0.004488904 0.23204243 -0.0035565362)))
0.012	(((317.0369 -12.549704 -4.1224066e-16) (4.6136554 -0.10197631 1.4626935e-16)) ((0.62748519 15.851845 6.6165351e-11) (0.0050988155 0.23068277 -0.0033808732)))
0.0125	(((315.12919 -13.405971 -4.1067937e-16) (4.5883494 -0.11038347 1.4598612e-16)) ((0.67029854 15.756459 1.2448287e-10) (0.0055191733 0.22941747 -0.003040944)))
0.013	(((313.15597 -13.420021 -4.0906664e-16) (4.5629309 -0.11375913 1.4574843e-16)) ((0.67100106 15.657799 1.8816276e-10) (0.0056879567 0.22814655 -0.0025353966)))
0.0135	(((311.48406 -12.884168 -4.0744666e-16) (4.5386521 -0.11264222 1.4522861e-16)) ((0.6442084 15.574203 2.4559349e-10) (0.0056321108 0.22693261 -0.0020859847)))
0.014	(((309.68641 -11.498523 -4.0501783e-16) (4.5145799 -0.10574254 1.4439298e-16)) ((0.57492614 15.48432 2.9457625e-10) (0.0052871271 0.225729 -0.0016063321)))
0.0145	(((308.0628 -9.367259 -4.0272811e-16) (4.4921396 -0.092862841 1.4361097e-16)) ((0.46836295 15.40314 3.3599981e-10) (0.004643142 0.22460698 -0.0010948402)))
0.015	(((306.6376 -6.5945964 -4.0021501e-16) (4.4719602 -0.074165748 1.4280153e-16)) ((0.32972982 15.33188 3.6121243e-10) (0.0037082874 0.22359801 -0.00053522236)))
0.0155	(((305.4062 -3.3247746 -3.9761971e-16) (4.4543197 -0.050168011 1.4204632e-16)) ((0.16623873 15.27031 3.7061693e-10) (0.0025084005 0.22271599 8.8426166e-05)))
0.016	(((304.32232 0.34665907 -3.950783e-16) (4.4387536 -0.021388456 1.4144884e-16)) ((-0.017332953 15.216116 3.684478e-10) (0.0010694228 0.22193768 0.00078573145)))
0.0165	(((303.3667 4.3363306 -3.9255965e-16) (4.4247952 0.011839034 1.4100093e-16)) ((-0.21681653 15.168335 3.6033829e-10) (-0.0005919517 0.22123976 0.001584033)))
0.017	(((302.60693 8.6947054 -3.9009687e-16) (4.4124675 0.049833248 1.4066881e-16)) ((-0.43473527 15.130347 3.5098249e-10) (-0.0024916624 0.22062337 0.0025519692)))
